,artist,region,n,year,Rank
0,Taylor Swift,Australia,39,2020,1
1,Juice WRLD,Australia,26,2020,2
2,Lil Uzi Vert,Australia,25,2020,3
3,Pop Smoke,Australia,23,2020,4
4,Eminem,Australia,21,2020,5
5,The Kid LAROI,Australia,20,2020,6
6,Justin Bieber,Australia,20,2020,7
7,Ariana Grande,Australia,20,2020,8
8,Michael Bublé,Australia,19,2020,9
9,One Direction,Australia,17,2020,10
10,Kanye West,Belgium,27,2021,1
11,Pop Smoke,Belgium,26,2021,2
12,Adele,Belgium,24,2021,3
13,Billie Eilish,Belgium,24,2021,4
14,Damso,Belgium,23,2021,5
15,Drake,Belgium,23,2021,6
16,Lijpe,Belgium,21,2021,7
17,Djadja & Dinaz,Belgium,20,2021,8
18,Laylow,Belgium,20,2021,9
19,Ziak,Belgium,20,2021,10
20,BTS,Bolivia,33,2020,1
21,Bad Bunny,Bolivia,28,2020,2
22,Maluma,Bolivia,20,2020,3
23,One Direction,Bolivia,15,2020,4
24,The Weeknd,Bolivia,15,2020,5
25,Christian Nodal,Bolivia,14,2020,6
26,Anuel AA,Bolivia,13,2020,7
27,Dua Lipa,Bolivia,10,2020,8
28,Camilo,Bolivia,9,2020,9
29,J Balvin,Bolivia,9,2020,10
30,Gusttavo Lima,Brazil,23,2019,1
31,Taylor Swift,Brazil,18,2019,2
32,Beyoncé,Brazil,18,2019,3
33,Ariana Grande,Brazil,18,2019,4
34,Zé Neto & Cristiano,Brazil,18,2019,5
35,Marília Mendonça,Brazil,15,2019,6
36,Tiago Iorc,Brazil,14,2019,7
37,Jão,Brazil,13,2019,8
38,Post Malone,Brazil,13,2019,9
39,Lana Del Rey,Brazil,12,2019,10
40,Marília Mendonça,Brazil,41,2021,1
41,Gusttavo Lima,Brazil,28,2021,2
42,"Marília Mendonça, Maiara & Maraisa",Brazil,24,2021,3
43,Os Barões Da Pisadinha,Brazil,21,2021,4
44,Jorge & Mateus,Brazil,18,2021,5
45,Billie Eilish,Brazil,17,2021,6
46,Henrique & Juliano,Brazil,16,2021,7
47,Kanye West,Brazil,16,2021,8
48,Justin Bieber,Brazil,15,2021,9
49,Taylor Swift,Brazil,15,2021,10
50,Drake,Canada,36,2019,1
51,Juice WRLD,Canada,35,2019,2
52,Khalid,Canada,23,2019,3
53,Billie Eilish,Canada,22,2019,4
54,Tory Lanez,Canada,22,2019,5
55,Post Malone,Canada,21,2019,6
56,Ariana Grande,Canada,21,2019,7
57,Taylor Swift,Canada,21,2019,8
58,Ed Sheeran,Canada,20,2019,9
59,NAV,Canada,19,2019,10
60,Bad Bunny,Chile,22,2018,1
61,BTS,Chile,20,2018,2
62,XXXTENTACION,Chile,17,2018,3
63,Ballet Folklórico Alma Chilena,Chile,15,2018,4
64,Luis Miguel,Chile,15,2018,5
65,Ozuna,Chile,14,2018,6
66,DrefQuila,Chile,14,2018,7
67,Moral Distraida,Chile,12,2018,8
68,Ariana Grande,Chile,12,2018,9
69,Arctic Monkeys,Chile,12,2018,10
70,Kanye West,Denmark,29,2021,1
71,Pop Smoke,Denmark,27,2021,2
72,Billie Eilish,Denmark,25,2021,3
73,Justin Bieber,Denmark,25,2021,4
74,Ed Sheeran,Denmark,24,2021,5
75,Adele,Denmark,23,2021,6
76,Artigeardit,Denmark,22,2021,7
77,Drake,Denmark,22,2021,8
78,Polo G,Denmark,21,2021,9
79,Branco,Denmark,20,2021,10
80,Ed Sheeran,Dominican Republic,21,2017,1
81,Ozuna,Dominican Republic,19,2017,2
82,Romeo Santos,Dominican Republic,19,2017,3
83,Linkin Park,Dominican Republic,17,2017,4
84,Drake,Dominican Republic,15,2017,5
85,Ricardo Arjona,Dominican Republic,14,2017,6
86,Michael Bublé,Dominican Republic,11,2017,7
87,Vicente Garcia,Dominican Republic,10,2017,8
88,Yandel,Dominican Republic,10,2017,9
89,Maluma,Dominican Republic,8,2017,10
90,Bad Bunny,Dominican Republic,37,2020,1
91,Myke Towers,Dominican Republic,23,2020,2
92,Ozuna,Dominican Republic,23,2020,3
93,BTS,Dominican Republic,20,2020,4
94,Lapiz Conciente,Dominican Republic,19,2020,5
95,Aventura,Dominican Republic,18,2020,6
96,Ariana Grande,Dominican Republic,17,2020,7
97,The Weeknd,Dominican Republic,15,2020,8
98,Lady Gaga,Dominican Republic,15,2020,9
99,Justin Bieber,Dominican Republic,14,2020,10
100,Bad Bunny,Ecuador,31,2020,1
101,BTS,Ecuador,25,2020,2
102,Maluma,Ecuador,23,2020,3
103,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Ecuador,23,2020,4
104,The Weeknd,Ecuador,15,2020,5
105,Anuel AA,Ecuador,13,2020,6
106,Dua Lipa,Ecuador,12,2020,7
107,Camilo,Ecuador,9,2020,8
108,BLACKPINK,Ecuador,8,2020,9
109,Jarabe De Palo,Ecuador,8,2020,10
110,Bad Bunny,El Salvador,21,2018,1
111,BTS,El Salvador,20,2018,2
112,Ariana Grande,El Salvador,17,2018,3
113,Morat,El Salvador,16,2018,4
114,XXXTENTACION,El Salvador,15,2018,5
115,Avicii,El Salvador,15,2018,6
116,Drake,El Salvador,12,2018,7
117,La Sonora Dinamita,El Salvador,12,2018,8
118,Camila Cabello,El Salvador,10,2018,9
119,Queen,El Salvador,10,2018,10
120,Taylor Swift,Estonia,32,2020,1
121,Playboi Carti,Estonia,25,2020,2
122,Juice WRLD,Estonia,25,2020,3
123,BTS,Estonia,25,2020,4
124,Lil Uzi Vert,Estonia,21,2020,5
125,Eminem,Estonia,21,2020,6
126,Ariana Grande,Estonia,18,2020,7
127,Kid Cudi,Estonia,17,2020,8
128,nublu,Estonia,16,2020,9
129,The Weeknd,Estonia,15,2020,10
130,JVG,Finland,30,2017,1
131,Linkin Park,Finland,27,2017,2
132,Ed Sheeran,Finland,25,2017,3
133,Cheek,Finland,24,2017,4
134,Eminem,Finland,22,2017,5
135,Haloo Helsinki!,Finland,20,2017,6
136,Sia,Finland,17,2017,7
137,Antti Tuisku,Finland,16,2017,8
138,Mikael Gabriel,Finland,15,2017,9
139,Kendrick Lamar,Finland,15,2017,10
140,XXXTENTACION,Germany,36,2018,1
141,Capital Bra,Germany,28,2018,2
142,Ufo361,Germany,27,2018,3
143,Drake,Germany,24,2018,4
144,Kollegah,Germany,23,2018,5
145,Summer Cem,Germany,22,2018,6
146,Kontra K,Germany,21,2018,7
147,Post Malone,Germany,20,2018,8
148,18 Karat,Germany,19,2018,9
149,Travis Scott,Germany,19,2018,10
150,Bad Bunny,Guatemala,23,2018,1
151,Morat,Guatemala,20,2018,2
152,Ricardo Arjona,Guatemala,16,2018,3
153,Avicii,Guatemala,16,2018,4
154,Ozuna,Guatemala,16,2018,5
155,Ariana Grande,Guatemala,15,2018,6
156,BTS,Guatemala,15,2018,7
157,XXXTENTACION,Guatemala,14,2018,8
158,Post Malone,Guatemala,14,2018,9
159,Maluma,Guatemala,14,2018,10
160,Bad Bunny,Guatemala,33,2020,1
161,Christian Nodal,Guatemala,22,2020,2
162,Maluma,Guatemala,18,2020,3
163,The Weeknd,Guatemala,16,2020,4
164,BTS,Guatemala,14,2020,5
165,Anuel AA,Guatemala,14,2020,6
166,Dua Lipa,Guatemala,13,2020,7
167,Taylor Swift,Guatemala,12,2020,8
168,Justin Bieber,Guatemala,9,2020,9
169,Camilo,Guatemala,9,2020,10
170,Ed Sheeran,Honduras,21,2017,1
171,Ozuna,Honduras,10,2017,2
172,Linkin Park,Honduras,8,2017,3
173,Drake,Honduras,7,2017,4
174,Banda MS de Sergio Lizárraga,Honduras,7,2017,5
175,Maluma,Honduras,6,2017,6
176,Bad Bunny,Honduras,6,2017,7
177,Calvin Harris,Honduras,4,2017,8
178,Ricardo Arjona,Honduras,4,2017,9
179,Nicky Jam,Honduras,4,2017,10
180,Bad Bunny,Honduras,22,2018,1
181,Drake,Honduras,20,2018,2
182,Ariana Grande,Honduras,15,2018,3
183,BTS,Honduras,13,2018,4
184,Queen,Honduras,12,2018,5
185,XXXTENTACION,Honduras,11,2018,6
186,Anuel AA,Honduras,10,2018,7
187,Banda MS de Sergio Lizárraga,Honduras,10,2018,8
188,Ozuna,Honduras,9,2018,9
189,Avicii,Honduras,8,2018,10
190,Bad Bunny,Honduras,35,2020,1
191,BTS,Honduras,27,2020,2
192,Taylor Swift,Honduras,23,2020,3
193,Myke Towers,Honduras,21,2020,4
194,The Weeknd,Honduras,19,2020,5
195,Christian Nodal,Honduras,18,2020,6
196,Ariana Grande,Honduras,17,2020,7
197,Maluma,Honduras,17,2020,8
198,One Direction,Honduras,15,2020,9
199,Dua Lipa,Honduras,15,2020,10
200,Bad Bunny,Honduras,28,2021,1
201,Myke Towers,Honduras,22,2021,2
202,Kanye West,Honduras,20,2021,3
203,Adele,Honduras,19,2021,4
204,Drake,Honduras,19,2021,5
205,Anuel AA,Honduras,16,2021,6
206,Taylor Swift,Honduras,16,2021,7
207,J Balvin,Honduras,14,2021,8
208,BTS,Honduras,14,2021,9
209,"Anuel AA, Ozuna",Honduras,12,2021,10
210,XXXTENTACION,Hungary,40,2018,1
211,Avicii,Hungary,34,2018,2
212,Imagine Dragons,Hungary,23,2018,3
213,Drake,Hungary,22,2018,4
214,Ariana Grande,Hungary,21,2018,5
215,Shawn Mendes,Hungary,20,2018,6
216,Michael Bublé,Hungary,20,2018,7
217,Queen,Hungary,20,2018,8
218,Post Malone,Hungary,20,2018,9
219,Travis Scott,Hungary,20,2018,10
220,Kanye West,Hungary,26,2021,1
221,Billie Eilish,Hungary,23,2021,2
222,Drake,Hungary,22,2021,3
223,Pop Smoke,Hungary,19,2021,4
224,Ed Sheeran,Hungary,17,2021,5
225,Justin Bieber,Hungary,16,2021,6
226,Adele,Hungary,15,2021,7
227,Azahriah,Hungary,15,2021,8
228,Lil Nas X,Hungary,14,2021,9
229,J. Cole,Hungary,13,2021,10
230,BTS,India,35,2020,1
231,Taylor Swift,India,27,2020,2
232,Justin Bieber,India,15,2020,3
233,Selena Gomez,India,15,2020,4
234,Arijit Singh,India,14,2020,5
235,The Weeknd,India,14,2020,6
236,Diljit Dosanjh,India,14,2020,7
237,"Pritam, Arijit Singh",India,13,2020,8
238,Eminem,India,12,2020,9
239,DIVINE,India,11,2020,10
240,Taylor Swift,Indonesia,22,2021,1
241,BTS,Indonesia,19,2021,2
242,Adele,Indonesia,16,2021,3
243,NCT 127,Indonesia,14,2021,4
244,NCT DREAM,Indonesia,14,2021,5
245,SEVENTEEN,Indonesia,12,2021,6
246,Olivia Rodrigo,Indonesia,12,2021,7
247,TREASURE,Indonesia,11,2021,8
248,Pamungkas,Indonesia,11,2021,9
249,Tulus,Indonesia,11,2021,10
250,XXXTENTACION,Ireland,43,2018,1
251,Ed Sheeran,Ireland,30,2018,2
252,Drake,Ireland,26,2018,3
253,Taylor Swift,Ireland,24,2018,4
254,Post Malone,Ireland,23,2018,5
255,Ariana Grande,Ireland,22,2018,6
256,Arctic Monkeys,Ireland,21,2018,7
257,Avicii,Ireland,20,2018,8
258,Travis Scott,Ireland,19,2018,9
259,Eminem,Ireland,19,2018,10
260,Post Malone,Ireland,36,2019,1
261,Lewis Capaldi,Ireland,25,2019,2
262,Ariana Grande,Ireland,25,2019,3
263,Ed Sheeran,Ireland,24,2019,4
264,Khalid,Ireland,24,2019,5
265,Picture This,Ireland,23,2019,6
266,Juice WRLD,Ireland,23,2019,7
267,Taylor Swift,Ireland,22,2019,8
268,Billie Eilish,Ireland,22,2019,9
269,Stormzy,Ireland,20,2019,10
270,One Direction,Ireland,42,2020,1
271,Taylor Swift,Ireland,39,2020,2
272,Eminem,Ireland,31,2020,3
273,Lil Uzi Vert,Ireland,29,2020,4
274,The 1975,Ireland,28,2020,5
275,Juice WRLD,Ireland,26,2020,6
276,Pop Smoke,Ireland,22,2020,7
277,Dermot Kennedy,Ireland,20,2020,8
278,Ariana Grande,Ireland,20,2020,9
279,DaBaby,Ireland,18,2020,10
280,Omer Adam,Israel,25,2020,1
281,Juice WRLD,Israel,22,2020,2
282,Eminem,Israel,20,2020,3
283,Taylor Swift,Israel,19,2020,4
284,Ariana Grande,Israel,18,2020,5
285,Eden Hason,Israel,17,2020,6
286,The Weeknd,Israel,16,2020,7
287,Lil Uzi Vert,Israel,16,2020,8
288,Itay Levi,Israel,15,2020,9
289,Drake,Israel,15,2020,10
290,ARASHI,Japan,66,2019,1
291,Gen Hoshino,Japan,41,2019,2
292,Aimyon,Japan,31,2019,3
293,TWICE,Japan,27,2019,4
294,Official HIGE DANdism,Japan,24,2019,5
295,Ariana Grande,Japan,23,2019,6
296,ONE OK ROCK,Japan,23,2019,7
297,Ed Sheeran,Japan,23,2019,8
298,Taylor Swift,Japan,20,2019,9
299,BTS,Japan,19,2019,10
300,B'z,Japan,33,2021,1
301,BTS,Japan,27,2021,2
302,HIRAIDAI,Japan,22,2021,3
303,YOASOBI,Japan,22,2021,4
304,Official HIGE DANdism,Japan,16,2021,5
305,Vaundy,Japan,14,2021,6
306,ARASHI,Japan,13,2021,7
307,NiziU,Japan,13,2021,8
308,back number,Japan,13,2021,9
309,TWICE,Japan,12,2021,10
310,XXXTENTACION,Latvia,40,2018,1
311,Drake,Latvia,24,2018,2
312,Prāta Vētra,Latvia,22,2018,3
313,Post Malone,Latvia,21,2018,4
314,A$AP Rocky,Latvia,18,2018,5
315,Travis Scott,Latvia,18,2018,6
316,Avicii,Latvia,16,2018,7
317,Ariana Grande,Latvia,15,2018,8
318,Twenty One Pilots,Latvia,15,2018,9
319,Lil Peep,Latvia,14,2018,10
320,Ed Sheeran,Luxembourg,11,2017,1
321,Bing Crosby,Luxembourg,8,2017,2
322,Michael Bublé,Luxembourg,5,2017,3
323,Drake,Luxembourg,4,2017,4
324,Nat King Cole,Luxembourg,4,2017,5
325,Linkin Park,Luxembourg,4,2017,6
326,Kendrick Lamar,Luxembourg,4,2017,7
327,Frank Sinatra,Luxembourg,3,2017,8
328,Carpenters,Luxembourg,3,2017,9
329,DJ Khaled,Luxembourg,2,2017,10
330,Drake,Luxembourg,18,2018,1
331,Michael Bublé,Luxembourg,8,2018,2
332,XXXTENTACION,Luxembourg,5,2018,3
333,Frank Sinatra,Luxembourg,4,2018,4
334,Dean Martin,Luxembourg,4,2018,5
335,Ariana Grande,Luxembourg,4,2018,6
336,Mariah Carey,Luxembourg,4,2018,7
337,Bing Crosby,Luxembourg,4,2018,8
338,Brett Eldredge,Luxembourg,3,2018,9
339,Post Malone,Luxembourg,3,2018,10
340,Linkin Park,Malaysia,48,2017,1
341,Ed Sheeran,Malaysia,28,2017,2
342,Taylor Swift,Malaysia,23,2017,3
343,BTS,Malaysia,23,2017,4
344,EXO,Malaysia,19,2017,5
345,Sam Smith,Malaysia,18,2017,6
346,Coldplay,Malaysia,16,2017,7
347,TAEYEON,Malaysia,12,2017,8
348,Kendrick Lamar,Malaysia,12,2017,9
349,Drake,Malaysia,10,2017,10
350,Luis Miguel,Mexico,25,2021,1
351,Bad Bunny,Mexico,18,2021,2
352,Danna Paola,Mexico,13,2021,3
353,Adele,Mexico,12,2021,4
354,Christian Nodal,Mexico,11,2021,5
355,Taylor Swift,Mexico,11,2021,6
356,Kanye West,Mexico,10,2021,7
357,The Weeknd,Mexico,10,2021,8
358,Olivia Rodrigo,Mexico,10,2021,9
359,Justin Bieber,Mexico,9,2021,10
360,XXXTENTACION,New Zealand,43,2018,1
361,Ed Sheeran,New Zealand,29,2018,2
362,Post Malone,New Zealand,26,2018,3
363,Drake,New Zealand,25,2018,4
364,Travis Scott,New Zealand,20,2018,5
365,Ariana Grande,New Zealand,20,2018,6
366,Michael Bublé,New Zealand,19,2018,7
367,A$AP Rocky,New Zealand,18,2018,8
368,Eminem,New Zealand,17,2018,9
369,J. Cole,New Zealand,16,2018,10
370,SIX60,New Zealand,29,2019,1
371,Billie Eilish,New Zealand,25,2019,2
372,Post Malone,New Zealand,25,2019,3
373,Khalid,New Zealand,23,2019,4
374,Ed Sheeran,New Zealand,23,2019,5
375,Ariana Grande,New Zealand,22,2019,6
376,Taylor Swift,New Zealand,20,2019,7
377,Michael Bublé,New Zealand,19,2019,8
378,Juice WRLD,New Zealand,18,2019,9
379,TOOL,New Zealand,17,2019,10
380,Bad Bunny,Nicaragua,18,2018,1
381,Ozuna,Nicaragua,3,2018,2
382,Anuel AA,Nicaragua,2,2018,3
383,Dua Lipa,Nicaragua,2,2018,4
384,Ed Sheeran,Nicaragua,2,2018,5
385,Manuel Turizo,Nicaragua,2,2018,6
386,Danny Ocean,Nicaragua,2,2018,7
387,"Ozuna, Romeo Santos",Nicaragua,2,2018,8
388,Ariana Grande,Nicaragua,1,2018,9
389,"Nicky Jam, J Balvin",Nicaragua,1,2018,10
390,Billie Eilish,Norway,21,2019,1
391,Post Malone,Norway,21,2019,2
392,Ariana Grande,Norway,20,2019,3
393,Ed Sheeran,Norway,20,2019,4
394,Juice WRLD,Norway,19,2019,5
395,Avicii,Norway,18,2019,6
396,Khalid,Norway,15,2019,7
397,Sigrid,Norway,13,2019,8
398,Astrid S,Norway,13,2019,9
399,"Kurt Nilsen, The Norwegian Radio Orchestra",Norway,13,2019,10
400,Drake,Panama,24,2018,1
401,XXXTENTACION,Panama,23,2018,2
402,Bad Bunny,Panama,22,2018,3
403,Sech,Panama,21,2018,4
404,Ariana Grande,Panama,18,2018,5
405,Ozuna,Panama,17,2018,6
406,Avicii,Panama,16,2018,7
407,BTS,Panama,14,2018,8
408,Post Malone,Panama,12,2018,9
409,Morat,Panama,10,2018,10
410,Taylor Swift,Philippines,23,2019,1
411,Ariana Grande,Philippines,22,2019,2
412,LANY,Philippines,18,2019,3
413,Ed Sheeran,Philippines,17,2019,4
414,BLACKPINK,Philippines,14,2019,5
415,TWICE,Philippines,12,2019,6
416,Ben&Ben,Philippines,12,2019,7
417,BTS,Philippines,11,2019,8
418,Lauv,Philippines,10,2019,9
419,Khalid,Philippines,10,2019,10
420,BTS,Philippines,45,2020,1
421,Taylor Swift,Philippines,45,2020,2
422,TWICE,Philippines,28,2020,3
423,LANY,Philippines,23,2020,4
424,Ariana Grande,Philippines,20,2020,5
425,One Direction,Philippines,19,2020,6
426,Ben&Ben,Philippines,17,2020,7
427,BLACKPINK,Philippines,16,2020,8
428,Lady Gaga,Philippines,15,2020,9
429,Dua Lipa,Philippines,14,2020,10
430,sanah,Poland,33,2021,1
431,Kanye West,Poland,27,2021,2
432,Billie Eilish,Poland,21,2021,3
433,"Bedoes, Lanek",Poland,18,2021,4
434,Adele,Poland,15,2021,5
435,Mata,Poland,13,2021,6
436,Kwiat Jabłoni,Poland,13,2021,7
437,Måneskin,Poland,13,2021,8
438,Krzysztof Krawczyk,Poland,12,2021,9
439,Chivas,Poland,12,2021,10
440,Nane,Romania,24,2019,1
441,Billie Eilish,Romania,24,2019,2
442,Ed Sheeran,Romania,24,2019,3
443,Ariana Grande,Romania,23,2019,4
444,Post Malone,Romania,20,2019,5
445,XXXTENTACION,Romania,18,2019,6
446,Taylor Swift,Romania,18,2019,7
447,Offset,Romania,17,2019,8
448,Ian,Romania,17,2019,9
449,Juice WRLD,Romania,15,2019,10
450,Ed Sheeran,Singapore,35,2019,1
451,BTS,Singapore,28,2019,2
452,Ariana Grande,Singapore,23,2019,3
453,Taylor Swift,Singapore,23,2019,4
454,Billie Eilish,Singapore,19,2019,5
455,JJ Lin,Singapore,18,2019,6
456,Post Malone,Singapore,18,2019,7
457,Khalid,Singapore,17,2019,8
458,TWICE,Singapore,15,2019,9
459,BLACKPINK,Singapore,15,2019,10
460,Linkin Park,Slovakia,23,2017,1
461,Ed Sheeran,Slovakia,21,2017,2
462,Eminem,Slovakia,17,2017,3
463,Kendrick Lamar,Slovakia,15,2017,4
464,Yzomandias,Slovakia,13,2017,5
465,Samey,Slovakia,12,2017,6
466,Pil C,Slovakia,12,2017,7
467,Imagine Dragons,Slovakia,12,2017,8
468,Harry Styles,Slovakia,9,2017,9
469,Ego,Slovakia,9,2017,10
470,DMS,Slovakia,24,2019,1
471,Ed Sheeran,Slovakia,23,2019,2
472,Billie Eilish,Slovakia,22,2019,3
473,Yzomandias,Slovakia,22,2019,4
474,Ariana Grande,Slovakia,22,2019,5
475,Post Malone,Slovakia,19,2019,6
476,Sima,Slovakia,15,2019,7
477,Taylor Swift,Slovakia,15,2019,8
478,Juice WRLD,Slovakia,14,2019,9
479,Pil C,Slovakia,14,2019,10
480,Bad Bunny,Spain,20,2018,1
481,Miriam Rodríguez,Spain,19,2018,2
482,Alfred García,Spain,19,2018,3
483,Ariana Grande,Spain,18,2018,4
484,XXXTENTACION,Spain,18,2018,5
485,Aitana,Spain,17,2018,6
486,Avicii,Spain,16,2018,7
487,C. Tangana,Spain,15,2018,8
488,Beret,Spain,15,2018,9
489,Melendi,Spain,15,2018,10
490,Billie Eilish,Spain,18,2019,1
491,Ariana Grande,Spain,17,2019,2
492,Bad Bunny,Spain,16,2019,3
493,Beret,Spain,15,2019,4
494,Ed Sheeran,Spain,14,2019,5
495,Paulo Londra,Spain,14,2019,6
496,Aitana,Spain,13,2019,7
497,Ozuna,Spain,13,2019,8
498,Leiva,Spain,13,2019,9
499,Raya Real,Spain,12,2019,10
500,Bad Bunny,Spain,28,2020,1
501,Jarabe De Palo,Spain,23,2020,2
502,Morad,Spain,17,2020,3
503,Raya Real,Spain,15,2020,4
504,Taylor Swift,Spain,14,2020,5
505,Dua Lipa,Spain,14,2020,6
506,Lady Gaga,Spain,14,2020,7
507,Rels B,Spain,13,2020,8
508,Myke Towers,Spain,13,2020,9
509,Ariana Grande,Spain,13,2020,10
510,ABBA,Sweden,30,2021,1
511,Kanye West,Sweden,28,2021,2
512,Adele,Sweden,25,2021,3
513,Ed Sheeran,Sweden,23,2021,4
514,Einár,Sweden,23,2021,5
515,Pop Smoke,Sweden,22,2021,6
516,Billie Eilish,Sweden,22,2021,7
517,Drake,Sweden,22,2021,8
518,Benjamin Ingrosso,Sweden,21,2021,9
519,Justin Bieber,Sweden,20,2021,10
520,BTS,Taiwan,36,2018,1
521,Avicii,Taiwan,33,2018,2
522,LaLa Hsu,Taiwan,23,2018,3
523,Bruno Mars,Taiwan,20,2018,4
524,Jay Chou,Taiwan,19,2018,5
525,Charlie Puth,Taiwan,19,2018,6
526,Jolin Tsai,Taiwan,19,2018,7
527,Eason Chan,Taiwan,19,2018,8
528,Ariana Grande,Taiwan,18,2018,9
529,Shawn Mendes,Taiwan,18,2018,10
530,Ed Sheeran,Taiwan,33,2019,1
531,Taylor Swift,Taiwan,25,2019,2
532,G.E.M.,Taiwan,22,2019,3
533,Ariana Grande,Taiwan,19,2019,4
534,Billie Eilish,Taiwan,18,2019,5
535,JJ Lin,Taiwan,15,2019,6
536,TWICE,Taiwan,14,2019,7
537,9m88,Taiwan,14,2019,8
538,TAEYEON,Taiwan,14,2019,9
539,Post Malone,Taiwan,13,2019,10
540,BTS,Turkey,20,2018,1
541,XXXTENTACION,Turkey,17,2018,2
542,Mabel Matiz,Turkey,15,2018,3
543,Ezhel,Turkey,14,2018,4
544,Drake,Turkey,13,2018,5
545,EDIS,Turkey,13,2018,6
546,Eminem,Turkey,13,2018,7
547,Arctic Monkeys,Turkey,12,2018,8
548,Imagine Dragons,Turkey,11,2018,9
549,Şebnem Ferah,Turkey,11,2018,10
550,Ed Sheeran,United Kingdom,42,2017,1
551,Linkin Park,United Kingdom,33,2017,2
552,Eminem,United Kingdom,23,2017,3
553,Gorillaz,United Kingdom,21,2017,4
554,Sam Smith,United Kingdom,19,2017,5
555,Michael Bublé,United Kingdom,19,2017,6
556,Stormzy,United Kingdom,18,2017,7
557,Drake,United Kingdom,17,2017,8
558,Taylor Swift,United Kingdom,17,2017,9
559,J Hus,United Kingdom,17,2017,10
560,D-Block Europe,United Kingdom,36,2019,1
561,Ed Sheeran,United Kingdom,26,2019,2
562,Drake,United Kingdom,25,2019,3
563,Taylor Swift,United Kingdom,23,2019,4
564,Ariana Grande,United Kingdom,23,2019,5
565,Billie Eilish,United Kingdom,22,2019,6
566,Post Malone,United Kingdom,21,2019,7
567,Juice WRLD,United Kingdom,21,2019,8
568,Khalid,United Kingdom,21,2019,9
569,Michael Bublé,United Kingdom,20,2019,10
570,Taylor Swift,United Kingdom,36,2020,1
571,Lil Uzi Vert,United Kingdom,34,2020,2
572,Eminem,United Kingdom,32,2020,3
573,Pop Smoke,United Kingdom,28,2020,4
574,Juice WRLD,United Kingdom,26,2020,5
575,BTS,United Kingdom,24,2020,6
576,One Direction,United Kingdom,23,2020,7
577,The 1975,United Kingdom,23,2020,8
578,Justin Bieber,United Kingdom,21,2020,9
579,Ariana Grande,United Kingdom,20,2020,10
580,Ed Sheeran,Uruguay,45,2019,1
581,Paulo Londra,Uruguay,18,2019,2
582,Ariana Grande,Uruguay,16,2019,3
583,YSY A,Uruguay,15,2019,4
584,Taylor Swift,Uruguay,15,2019,5
585,Billie Eilish,Uruguay,14,2019,6
586,El Cuarteto De Nos,Uruguay,12,2019,7
587,DJ Alex,Uruguay,12,2019,8
588,Harry Styles,Uruguay,12,2019,9
589,Ozuna,Uruguay,12,2019,10
590,Taylor Swift,Uruguay,31,2020,1
591,Bad Bunny,Uruguay,28,2020,2
592,BTS,Uruguay,24,2020,3
593,One Direction,Uruguay,18,2020,4
594,Ariana Grande,Uruguay,16,2020,5
595,Maroon 5,Uruguay,15,2020,6
596,Lady Gaga,Uruguay,15,2020,7
597,Dua Lipa,Uruguay,13,2020,8
598,DJ Alex,Uruguay,12,2020,9
599,Selena Gomez,Uruguay,12,2020,10
600,Capital Bra,Austria,25,2019,1
601,RAF Camora,Austria,22,2019,2
602,Billie Eilish,Austria,20,2019,3
603,MERO,Austria,20,2019,4
604,Post Malone,Austria,19,2019,5
605,Ariana Grande,Austria,19,2019,6
606,Ed Sheeran,Austria,18,2019,7
607,Shindy,Austria,18,2019,8
608,Luciano,Austria,17,2019,9
609,Kontra K,Austria,17,2019,10
610,Taylor Swift,Austria,27,2020,1
611,Juice WRLD,Austria,25,2020,2
612,Samra,Austria,24,2020,3
613,AnnenMayKantereit,Austria,24,2020,4
614,Luciano,Austria,23,2020,5
615,Eminem,Austria,21,2020,6
616,BTS,Austria,20,2020,7
617,Bonez MC,Austria,20,2020,8
618,Apache 207,Austria,20,2020,9
619,Justin Bieber,Austria,20,2020,10
620,Kanye West,Austria,27,2021,1
621,Cro,Austria,27,2021,2
622,Juice WRLD,Austria,24,2021,3
623,Billie Eilish,Austria,23,2021,4
624,Drake,Austria,23,2021,5
625,Pop Smoke,Austria,23,2021,6
626,Ufo361,Austria,22,2021,7
627,Ed Sheeran,Austria,18,2021,8
628,Adele,Austria,18,2021,9
629,Justin Bieber,Austria,17,2021,10
630,Hamza,Belgium,32,2019,1
631,Nekfeu,Belgium,26,2019,2
632,PNL,Belgium,23,2019,3
633,Post Malone,Belgium,23,2019,4
634,Billie Eilish,Belgium,22,2019,5
635,Ariana Grande,Belgium,22,2019,6
636,Ed Sheeran,Belgium,20,2019,7
637,Roméo Elvis,Belgium,19,2019,8
638,Ninho,Belgium,19,2019,9
639,PLK,Belgium,18,2019,10
640,Taylor Swift,Belgium,35,2020,1
641,Ninho,Belgium,27,2020,2
642,Juice WRLD,Belgium,26,2020,3
643,Pop Smoke,Belgium,24,2020,4
644,Justin Bieber,Belgium,20,2020,5
645,Eminem,Belgium,20,2020,6
646,Aya Nakamura,Belgium,19,2020,7
647,The Weeknd,Belgium,19,2020,8
648,Jul,Belgium,19,2020,9
649,Lil Uzi Vert,Belgium,19,2020,10
650,BTS,Bolivia,21,2018,1
651,Bad Bunny,Bolivia,19,2018,2
652,Queen,Bolivia,15,2018,3
653,Piso 21,Bolivia,14,2018,4
